nome,quantidade,valor_de_compra,valor_de_venda,ludopedia
Amigos de Merda 2 ,3,"R$ 59,00",89.99,https://ludopedia.com.br/jogo/amigos-de-mierda-2
 Amigos de Merda ,2,"R$ 59,00",89.99,https://ludopedia.com.br/jogo/amigos-de-mierda-shitty-friends
FDP - Foi de Propósito ,2,"R$ 125,00",199.99,https://ludopedia.com.br/jogo/h-d-p-hasta-donde-puedas
Nós Não Testamos Este Troço: Picante,3,"R$ 59,00",89.99,https://ludopedia.com.br/jogo/no-lo-testeamos-ni-un-poco-picante
"Cocô, o Jogo ",3,"R$ 34,00",64.99,"https://ludopedia.com.br/jogo/coco-o-jogo#:~:text=jogo%20de%20bosta!-,%C3%89%20um%20jogo%20para%20beber!,vire%20o%20rei%20do%20trono!"
Fogo no Parquinho ,2,"R$ 104,00",169.99,https://ludopedia.com.br/jogo/fogo-no-parquinho
Decisões de Merda,3,"R$ 59,00",89.99,https://ludopedia.com.br/jogo/decisiones-de-mierda-shitty-choices
Nós Não Testamos Este Troço ,2,"R$ 59,00",89.99,https://ludopedia.com.br/jogo/we-didn-t-playtest-this-at-all
Cala a boca e bebe logo,12,"R$ 27,99",44.99,https://ludopedia.com.br/jogo/tomalo-vos-this-game-will-make-you-drink
Yokai ,2,"R$ 41,50",74.99,https://ludopedia.com.br/jogo/y-kai
Uga Buga ,3,"R$ 34,00",64.99,https://ludopedia.com.br/jogo/ooga-booga-uga-buga
We Will Rock You,3,"R$ 34,00",64.99,https://ludopedia.com.br/jogo/rock-the-beat
Bad Signs,3,"R$ 34,00",64.99,https://ludopedia.com.br/jogo/bad-signs
Super Cats,3,"R$ 34,00",64.99,https://ludopedia.com.br/jogo/super-cats